PROCEDURE_CODE,DESCRIPTION,PAYER_NAME,LINE_OF_BUSINESS,ORG_NAME_ORG,CHARGE_PER_UNIT,PAID_AMT_PER_UNIT,ALLOWED_AMT_PER_UNIT
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Aetna,Commercial,TANNER MEDICAL CENTER-VILLA RICA,21185,12879.84,13077.5
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Humana,Commercial,WELLSTAR WINDY HILL HOSPITAL,14238,3622,3622
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Cigna,Commercial,ST. MARY'S SACRED HEART HOSPITAL,9193,10966.58,11249.08
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Humana,Medicare,LAUREL PARK AT HENRY MED CTR,22512.41,11376.38,
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Aetna,Commercial,WELLSTAR WINDY HILL HOSPITAL,16611,6720,6720
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Cigna,Commercial,SUPERIOR SURGICAL ASSOCIATES INC,6488,168.28,177.04
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Humana,Medicare,OPTIM MEDICAL CENTER - TATTNALL,6451,1209.23,1301.54
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Cigna,Commercial,WELLSTAR WINDY HILL HOSPITAL,19775,11387.08,12450.01
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Humana,Medicare,WELLSTAR WINDY HILL HOSPITAL,16338.54,12483.94,13417.36
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Cigna,Commercial,EMORY HILLANDALE HOSPITAL,10545,12493.23,12493.23
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Humana,Commercial,NORTHSIDE SURGICAL PROFESSIONAL SERVICES LLC,4641,2133.67,2844.89
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Humana,Medicare,NORTHSIDE SURGICAL PROFESSIONAL SERVICES LLC,4641,1257.25,1304.49
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Anthem,Commercial,ORTHOPAEDIC ASSOCIATES,6050,1452.79,2030.96
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Anthem,Medicaid,ORTHOPAEDIC ASSOCIATES,6050,1230.34,1240.34
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Medicare,Medicare,ORTHOPAEDIC ASSOCIATES,6050,979.79,1242.82
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Cigna,Commercial,NEW HORIZONS LIMESTONE,18866.5,12305.42,12423.97
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Anthem,Commercial,GAINESVILLE SURGERY CENTER LP,21939,9392,9442
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Anthem,Medicaid,GAINESVILLE SURGERY CENTER LP,21939,8695.64,8695.64
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Humana,Medicare,ORTHOPAEDIC ASSOCIATES,6050,1085.01,1303.38
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Medicare,Medicare,GAINESVILLE SURGERY CENTER LP,26599,6886.94,8695.64
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Aetna,Commercial,GAINESVILLE SURGERY CENTER LP,21300,8176.41,8401.41
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Humana,Medicare,GAINESVILLE SURGERY CENTER LP,21619.5,8336.75,
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Aetna,Commercial,ORTHOPAEDIC ASSOCIATES,6050,1264.77,1277.55
